episodeId,camera,expectedClass,humanSuccess,B1_center_in_footprint,B2_footprint_overlap,B3_full_inner_containment,B4_full_containment_started_outside,B5_terminal_3d_containment,overlapFrac,anyNaivePass,wr_terminal_only_status,wr_terminal_only_class,wr_relation_event_status,wr_relation_event_class,wr_placed_from_outside_status,wr_placed_from_outside_class,wrStructuredCertifies
oic_control_born_inside_001,iphone_top,born_inside,False,True,True,True,False,True,1.0,True,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_born_inside_001,sony_front,born_inside,False,True,True,True,False,True,1.0,True,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_born_inside_002,iphone_top,born_inside,False,True,True,True,False,True,1.0,True,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_born_inside_002,sony_front,born_inside,False,True,True,True,False,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,FAIL,BORN_INSIDE_NO_TRANSITION,False
oic_control_born_inside_hand_motion_001,iphone_top,born_inside_with_hand_motion,False,True,True,False,False,True,1.0,True,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_born_inside_hand_motion_001,sony_front,born_inside_with_hand_motion,False,True,True,False,False,True,1.0,True,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_born_inside_hand_motion_002,iphone_top,born_inside_with_hand_motion,False,True,True,True,False,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,FAIL,BORN_INSIDE_NO_TRANSITION,False
oic_control_born_inside_hand_motion_002,sony_front,born_inside_with_hand_motion,False,True,True,True,False,True,1.0,True,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_inside_to_inside_001,iphone_top,inside_to_inside,False,True,True,False,False,True,1.0,True,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_control_inside_to_inside_001,sony_front,inside_to_inside,False,True,True,False,False,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,FAIL,BORN_INSIDE_NO_TRANSITION,False
oic_control_inside_to_outside_001,iphone_top,inside_to_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_inside_to_outside_001,sony_front,inside_to_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_inside_to_outside_002,iphone_top,inside_to_outside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_control_inside_to_outside_002,sony_front,inside_to_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_static_001,iphone_top,static_no_task,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_control_static_001,sony_front,static_no_task,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_near_not_inside_001,iphone_top,near_not_inside,False,False,False,False,False,False,0.0,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_near_not_inside_001,sony_front,near_not_inside,False,False,False,False,False,False,0.0,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_near_not_inside_002,iphone_top,near_not_inside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_near_not_inside_002,sony_front,near_not_inside,False,False,False,False,False,False,0.0,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_near_not_inside_003,iphone_top,near_not_inside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_near_not_inside_003,sony_front,near_not_inside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_near_not_inside_004,iphone_top,near_not_inside,False,False,False,False,False,False,0.0,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_near_not_inside_004,sony_front,near_not_inside,False,False,False,False,False,False,0.0,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_on_rim_001,iphone_top,left_on_rim,False,True,True,False,False,False,0.6072,True,FAIL,LEFT_ON_RIM,FAIL,LEFT_ON_RIM,FAIL,LEFT_ON_RIM,False
oic_fail_on_rim_001,sony_front,left_on_rim,False,False,False,False,False,False,0.0685,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_on_rim_002,iphone_top,left_on_rim,False,False,False,False,False,False,0.4364,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_on_rim_002,sony_front,left_on_rim,False,False,False,False,False,False,0.2686,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_on_rim_003,iphone_top,left_on_rim,False,False,False,False,False,False,0.2226,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_on_rim_003,sony_front,left_on_rim,False,False,False,False,False,False,0.2155,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_outside_001,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_outside_001,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_002,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_outside_002,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_003,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_003,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_004,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_outside_004,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_outside_005,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_005,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_success_001,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_001,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_002,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_002,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_003,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,True
oic_success_003,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_004,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_004,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_005,iphone_top,success,True,True,True,True,True,True,1.0,True,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_success_005,sony_front,success,True,True,True,True,True,True,1.0,True,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_success_006,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_006,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_007,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_007,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_008,iphone_top,success,True,True,True,True,True,True,1.0,True,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_success_008,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_009,iphone_top,success,True,True,True,True,True,True,1.0,True,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_success_009,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,True
oic_success_010,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_010,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_011,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_011,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_012,iphone_top,success,True,True,True,True,True,True,1.0,True,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_success_012,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_013,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,True
oic_success_013,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,True
oic_success_014,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,True
oic_success_014,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,True
oic_success_015,iphone_top,success,True,True,True,True,True,True,1.0,True,PASS,,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,True
oic_success_015,sony_front,success,True,True,True,True,True,True,1.0,True,PASS,,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,True
oic_success_016,iphone_top,success,True,True,True,False,False,True,0.9768,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_016,sony_front,success,True,True,True,False,False,True,0.7171,True,PASS,,FAIL,BORN_INSIDE_NO_TRANSITION,PASS,,True
oic_success_hand_obstruction_001,iphone_top,success_hand_obstruction,True,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_success_hand_obstruction_001,sony_front,success_hand_obstruction,True,True,True,True,True,False,1.0,True,FAIL,LEFT_ON_RIM,FAIL,LEFT_ON_RIM,FAIL,LEFT_ON_RIM,False
oic_success_tag_obstruction_001,iphone_top,success_tag_obstruction,True,False,False,False,False,False,0.0,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_success_tag_obstruction_001,sony_front,success_tag_obstruction,True,True,True,True,True,False,1.0,True,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_success_tag_obstruction_002,iphone_top,success_tag_obstruction,True,False,False,False,False,False,0.248,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_success_tag_obstruction_002,sony_front,success_tag_obstruction,True,True,True,False,False,True,0.7466,True,FAIL,RELATION_MISMATCH,FAIL,BORN_INSIDE_NO_TRANSITION,FAIL,RELATION_MISMATCH,False
