world,clipId,kind,groundTruth,expectedClass,terminal,relationEvent,placed,structuredCertifies,leakageClean,physicalValidity,terminalClass,structuredClass
mujoco,put_cube_in_tray__mujoco_solver,success,PASS,success,PASS,PASS,FAIL,True,True,True,,
rlbench,put_item_in_drawer_bottom_demo00,success,PASS,success/bottom_demo00,PASS,FAIL,PASS,True,True,,,
rlbench,put_item_in_drawer_bottom_demo01,success,PASS,success/bottom_demo01,PASS,FAIL,PASS,True,True,,,
rlbench,put_item_in_drawer_bottom_demo02,success,PASS,success/bottom_demo02,PASS,FAIL,PASS,True,True,,,
rlbench,put_item_in_drawer_middle_demo00,success,PASS,success/middle_demo00,PASS,FAIL,PASS,True,True,,,
rlbench,put_item_in_drawer_middle_demo01,success,PASS,success/middle_demo01,PASS,FAIL,PASS,True,True,,,
rlbench,put_item_in_drawer_middle_demo02,success,PASS,success/middle_demo02,PASS,FAIL,PASS,True,True,,,
rlbench,put_item_in_drawer_top_demo00,success,PASS,success/top_demo00,PASS,PASS,FAIL,True,True,,,
rlbench,put_item_in_drawer_top_demo01,success,PASS,success/top_demo01,PASS,PASS,FAIL,True,True,,,
rlbench,put_item_in_drawer_top_demo02,success,PASS,success/top_demo02,PASS,PASS,FAIL,True,True,,,
sony,oic_control_born_inside_001__iphone_top,non_success,FAIL,born_inside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_born_inside_001__sony_front,non_success,FAIL,born_inside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_born_inside_002__iphone_top,non_success,FAIL,born_inside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_born_inside_002__sony_front,non_success,FAIL,born_inside,PASS,FAIL,FAIL,False,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_control_born_inside_hand_motion_001__iphone_top,non_success,FAIL,born_inside_with_hand_motion,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_born_inside_hand_motion_001__sony_front,non_success,FAIL,born_inside_with_hand_motion,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_born_inside_hand_motion_002__iphone_top,non_success,FAIL,born_inside_with_hand_motion,PASS,FAIL,FAIL,False,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_control_born_inside_hand_motion_002__sony_front,non_success,FAIL,born_inside_with_hand_motion,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_inside_to_inside_001__iphone_top,non_success,FAIL,inside_to_inside,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_control_inside_to_inside_001__sony_front,non_success,FAIL,inside_to_inside,PASS,FAIL,FAIL,False,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_control_inside_to_outside_001__iphone_top,non_success,FAIL,inside_to_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_inside_to_outside_001__sony_front,non_success,FAIL,inside_to_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_inside_to_outside_002__iphone_top,non_success,FAIL,inside_to_outside,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_control_inside_to_outside_002__sony_front,non_success,FAIL,inside_to_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_static_001__iphone_top,non_success,FAIL,static_no_task,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_control_static_001__sony_front,non_success,FAIL,static_no_task,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_fail_near_not_inside_001__iphone_top,non_success,FAIL,near_not_inside,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_near_not_inside_001__sony_front,non_success,FAIL,near_not_inside,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_near_not_inside_002__iphone_top,non_success,FAIL,near_not_inside,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_fail_near_not_inside_002__sony_front,non_success,FAIL,near_not_inside,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_near_not_inside_003__iphone_top,non_success,FAIL,near_not_inside,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_fail_near_not_inside_003__sony_front,non_success,FAIL,near_not_inside,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_fail_near_not_inside_004__iphone_top,non_success,FAIL,near_not_inside,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_near_not_inside_004__sony_front,non_success,FAIL,near_not_inside,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_on_rim_001__iphone_top,non_success,FAIL,left_on_rim,FAIL,FAIL,FAIL,False,True,,LEFT_ON_RIM,LEFT_ON_RIM
sony,oic_fail_on_rim_001__sony_front,non_success,FAIL,left_on_rim,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_on_rim_002__iphone_top,non_success,FAIL,left_on_rim,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_fail_on_rim_002__sony_front,non_success,FAIL,left_on_rim,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_on_rim_003__iphone_top,non_success,FAIL,left_on_rim,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_on_rim_003__sony_front,non_success,FAIL,left_on_rim,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_outside_001__iphone_top,non_success,FAIL,dropped_or_left_outside,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_fail_outside_001__sony_front,non_success,FAIL,dropped_or_left_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_fail_outside_002__iphone_top,non_success,FAIL,dropped_or_left_outside,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_fail_outside_002__sony_front,non_success,FAIL,dropped_or_left_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_fail_outside_003__iphone_top,non_success,FAIL,dropped_or_left_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_fail_outside_003__sony_front,non_success,FAIL,dropped_or_left_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_fail_outside_004__iphone_top,non_success,FAIL,dropped_or_left_outside,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_fail_outside_004__sony_front,non_success,FAIL,dropped_or_left_outside,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_fail_outside_005__iphone_top,non_success,FAIL,dropped_or_left_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_fail_outside_005__sony_front,non_success,FAIL,dropped_or_left_outside,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_success_001__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_001__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_002__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_002__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_003__iphone_top,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_003__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_004__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_004__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_005__iphone_top,success,PASS,success,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_success_005__sony_front,success,PASS,success,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_success_006__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_006__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_007__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_007__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_008__iphone_top,success,PASS,success,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_success_008__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_009__iphone_top,success,PASS,success,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_success_009__sony_front,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_010__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_010__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_011__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_011__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_012__iphone_top,success,PASS,success,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_success_012__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_013__iphone_top,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_013__sony_front,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_014__iphone_top,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_014__sony_front,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_015__iphone_top,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_015__sony_front,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_016__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_016__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_hand_obstruction_001__iphone_top,success,PASS,success_hand_obstruction,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_success_hand_obstruction_001__sony_front,success,PASS,success_hand_obstruction,FAIL,FAIL,FAIL,False,True,,LEFT_ON_RIM,LEFT_ON_RIM
sony,oic_success_tag_obstruction_001__iphone_top,success,PASS,success_tag_obstruction,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_success_tag_obstruction_001__sony_front,success,PASS,success_tag_obstruction,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_success_tag_obstruction_002__iphone_top,success,PASS,success_tag_obstruction,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_success_tag_obstruction_002__sony_front,success,PASS,success_tag_obstruction,FAIL,FAIL,FAIL,False,True,,RELATION_MISMATCH,BORN_INSIDE_NO_TRANSITION
rh20t,task_0017_user_0010_scene_0005_cfg_0003,real_positive,PASS,real_positive,PASS,PASS,,True,True,,,
rh20t,task_0017_user_0010_scene_0005_cfg_0003_negative,derived_negative,FAIL,derived_negative,FAIL,FAIL,,False,True,,,
